NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT03887546,Inspiratory Muscle Training in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03887546,UNKNOWN,Multiple Sclerosis,DEVICE: Inspiratory muscle trainer|PROCEDURE: Respiratory exercise,University of Salamanca,,ALL,"ADULT, OLDER_ADULT",NA,67,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2019-04-23,2019-07-24,2019-09-15,
NCT02623946,Motor Evoked Potentials as a Biomarker in Alemtuzumab Treated Multiple Sclerosis Patients,https://beta.clinicaltrials.gov/study/NCT02623946,COMPLETED,Multiple Sclerosis,,Clinique Neuro-Outaouais,CogState Ltd.,ALL,"ADULT, OLDER_ADULT",,10,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-11,2020-12-09,2021-02,"Clinique Neuro-Outaouais, Gatineau, Quebec, J8Y 1W2, Canada"
NCT01364246,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cell Therapy for Patients With Progressive Multiple Sclerosis and Neuromyelitis Optica,https://beta.clinicaltrials.gov/study/NCT01364246,UNKNOWN,Progressive Multiple Sclerosis|Neuromyelitis Optica.,BIOLOGICAL: human umbilical cord mesenchymal stem cells,"Shenzhen Beike Bio-Technology Co., Ltd.",The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|The Affiliated Nanjing Brain Hospital of Nanjing University Medical School|Nanjing University Medical College Affiliated Wuxi Second Hospital|Xuzhou Medical University|The Second Hospital of Nanjing Medical University,ALL,ADULT,PHASE1|PHASE2,20,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2010-01,2013-03,2014-12,"Nanjing University Medical College Affiliated Drum Tower Hospital, Nanjing, Jiangsu, China"
NCT03787446,PET Study in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03787446,UNKNOWN,Multiple Sclerosis,,University of British Columbia,Hoffmann-La Roche,ALL,ADULT,,9,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-03-26,2020-03,2020-09,"UBC MS & NMO Clinical Trials Group, Vancouver, British Columbia, V6T1Z3, Canada"
NCT02436746,The Cognitive Variability in NF1 and TSC Monozygotic Twins,https://beta.clinicaltrials.gov/study/NCT02436746,UNKNOWN,Neurofibromatosis Type I|Tuberous Sclerosis Complex,,Erasmus Medical Center,,ALL,"CHILD, ADULT, OLDER_ADULT",,116,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-04,2017-04,2017-04,"Erasmus MC, Rotterdam, 3000 CA, Netherlands"
NCT03051646,Aspirin as a Pre-Treatment for Exercise in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03051646,COMPLETED,Fatigue|Overheating,"DRUG: Acetylsalicylic acid at 1st visit, then Placebo at 2nd visit|DRUG: Placebo at 1st visit, then Acetylsalicylic acid at 2nd visit",Columbia University,National Multiple Sclerosis Society,ALL,ADULT,EARLY_PHASE1,12,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2017-01-13,2017-05-10,2017-05-10,"Columbia University Medical Center, MS Center, New York, New York, 10032, United States"
NCT03434873,Effect of Motor Cortex Versus Sacral Magnetic Stimulation in Multiple Sclerosis Patients With Urinary Tract Dysfunction,https://beta.clinicaltrials.gov/study/NCT03434873,COMPLETED,Multiple Sclerosis|Lower Urinary Tract Symptoms,OTHER: magnetic stimulation,Cairo University,,ALL,ADULT,NA,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-10,2015-04,2015-04,
NCT02726373,Comparison of Intermittent vs. Continuous Walking in MS,https://beta.clinicaltrials.gov/study/NCT02726373,COMPLETED,"Multiple Sclerosis, Endurance",OTHER: type of walking,Hunter College of City University of New York,,ALL,"ADULT, OLDER_ADULT",NA,12,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2013-01,2014-12,2014-12,
NCT00381264,Evaluation of the Efficacy of Cesamet™ for the Treatment of Pain in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT00381264,COMPLETED,Multiple Sclerosis,DRUG: Cesamet™ (nabilone),"NEMA Research, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE4,23,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2006-09,2007-10,2007-10,"South Florida Medical Research, Aventura, Florida, 33180, United States|Sunrise Clinical Research, Inc., Hollywood, Florida, 33021, United States|Naples Anesthesia and Pain Associates, Naples, Florida, 34108, United States|Lazlo Mate, MD, West Palm Beach, Florida, 33407, United States"
NCT00298662,Combination Therapy of Betaseron-Prograf in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT00298662,UNKNOWN,Multiple Sclerosis,DRUG: Interferon beta-1b and Tacrolimus,Clinique de sclérose en plaques et neuromusculaire de l'Outaouais,,ALL,ADULT,PHASE2,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2003-02,,2006-09,"Clinique de sclérose en plaques et neuromusculaire, Gatineau, Quebec, J8Y 1W7, Canada"
NCT05002062,"Efficacy of Cognitive Behavioral Therapy on Fatigue, Cognition and Inflammatory Biomarkers in MS Patients",https://beta.clinicaltrials.gov/study/NCT05002062,COMPLETED,Multiple Sclerosis,"DEVICE: ""RehaCom"" computer-based cognitive training in addition to Conventional physical therapy program|OTHER: Conventional physical therapy program",Cairo University,,ALL,ADULT,NA,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020-12-21,2021-05-18,2021-06-07,"Faculty of physical therapy, Cairo University, Giza, Dokki, 11432, Egypt"
NCT04705610,"Social Cognition in Multiple Sclerosis, From a Study of Eye Movement and Gaze Strategies Using Video-oculography",https://beta.clinicaltrials.gov/study/NCT04705610,COMPLETED,Multiple Sclerosis (MS)|Multiple Sclerosis (MS) Relapsing Remitting|Multiple Sclerosis (MS) Primary Progressive|Multiple Sclerosis (MS) Secondary Progressive|Radiologically Isolated Syndrome|Clinically Isolated Syndrome|Healthy,OTHER: Video-oculography / Social cognition tasks / Neuropsychological evaluations,Association de Recherche Bibliographique pour les Neurosciences,Centre Hospitalier Universitaire de Nice|Centre Hospitalier Princesse Grace,ALL,"ADULT, OLDER_ADULT",NA,76,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2017-05-23,2019-06-26,2019-06-26,"Centre Mémoire / Centre de Gérontologie Clinique Rainier III / Princess Grace Hospital, Monaco, 98000, Monaco"
NCT03222973,Efficacy and Safety of BIIB033 (Opicinumab) as an Add-on Therapy to Disease-Modifying Therapies (DMTs) in Relapsing Multiple Sclerosis (MS),https://beta.clinicaltrials.gov/study/NCT03222973,TERMINATED,Multiple Sclerosis,DRUG: BIIB033 (opicinumab)|DRUG: Placebo,Biogen,,ALL,ADULT,PHASE2,263,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-11-15,2021-02-12,2021-02-12,"Research Site, Cullman, Alabama, 35058, United States|Research Site, Gilbert, Arizona, 85234, United States|Research Site, Berkeley, California, 94705, United States|Research Site, Long Beach, California, 90806, United States|Research Site, Newport Beach, California, 92663, United States|Research Site, Orange, California, 92868, United States|Research Site, Centennial, Colorado, 80112, United States|Research Site, Fort Collins, Colorado, 80528, United States|Research Site, Stamford, Connecticut, 06905, United States|Research Site, Washington, District of Columbia, 20007, United States|Research Site, Sunrise, Florida, 33351, United States|Research Site, Tampa, Florida, 33612, United States|Research Site, Atlanta, Georgia, 30309, United States|Research Site, Chicago, Illinois, 60612, United States|Research Site, Chicago, Illinois, 60637, United States|Research Site, Overland Park, Kansas, 66212, United States|Research Site, Lexington, Kentucky, 40513, United States|Research Site, Baltimore, Maryland, 21287, United States|Research Site, Boston, Massachusetts, 02114, United States|Research Site, Boston, Massachusetts, 02215, United States|Research Site, Lexington, Massachusetts, 01805, United States|Research Site, Wellesley, Massachusetts, 02481, United States|Research Site, Farmington Hills, Michigan, 48334, United States|Research Site, Minneapolis, Minnesota, 55422, United States|Research Site, Saint Louis, Missouri, 63110, United States|Research Site, Saint Louis, Missouri, 63131, United States|Research Site, Las Vegas, Nevada, 89106, United States|Research Site, Freehold, New Jersey, 07728, United States|Research Site, Teaneck, New Jersey, 07666, United States|Research Site, Latham, New York, 12110, United States|Research Site, New York, New York, 10021, United States|Research Site, Patchogue, New York, 11772, United States|Research Site, Rochester, New York, 14642, United States|Research Site, Stony Brook, New York, 11794, United States|Research Site, Durham, North Carolina, 27710, United States|Research Site, Raleigh, North Carolina, 27607, United States|Research Site, Columbus, Ohio, 43214, United States|Research Site, Dayton, Ohio, 45417, United States|Research Site, Oklahoma City, Oklahoma, 73104, United States|Research Site, Portland, Oregon, 97225, United States|Research Site, Pittsburgh, Pennsylvania, 15213, United States|Research Site, Willow Grove, Pennsylvania, 19090, United States|Research Site, Knoxville, Tennessee, 37922, United States|Research Site, Memphis, Tennessee, 38018, United States|Research Site, Dallas, Texas, 75390-8806, United States|Research Site, Houston, Texas, 77030, United States|Research Site, Round Rock, Texas, 78681, United States|Research Site, Orem, Utah, 84058, United States|Research Site, Salt Lake City, Utah, 84103, United States|Research Site, Seattle, Washington, 98122, United States|Research Site, Seattle, Washington, 98133, United States|Research Site, Box Hill, Victoria, 3128, Australia|Research Site, Clayton, Victoria, 3168, Australia|Research Site, Heidelberg, Victoria, 3084, Australia|Research Site, Melbourne, Victoria, 3004, Australia|Research Site, Parkville, Victoria, 3050, Australia|Research Site, New Lambton Heights, NS 2305, Australia|Research Site, Westmead, 2145, Australia|Research Site, Brugge, 8000, Belgium|Research Site, Bruxelles, 1090, Belgium|Research Site, Bruxelles, 1200, Belgium|Research Site, Gent, 9000, Belgium|Research Site, La Louvière, 7100, Belgium|Research Site, Leuven, 3000, Belgium|Research Site, Roeselare, 8800, Belgium|Research Site, Edmonton, Alberta, T6G 1Z1, Canada|Research Site, Vancouver, British Columbia, V6T 1Z3, Canada|Research Site, Victoria, British Columbia, V8R 1J8, Canada|Research Site, Ottawa, Ontario, K1H8L6, Canada|Research Site, Toronto, Ontario, M5B1W8, Canada|Research Site, Gatineau, Quebec, J8Y 1W2, Canada|Research Site, Longueuil, Quebec, J4V2J2, Canada|Research Site, Montreal, Quebec, H3A 2B4, Canada|Research Site, Brno, 65691, Czechia|Research Site, Brno, 66491, Czechia|Research Site, Hradec Kralove, 50005, Czechia|Research Site, Jihlava, 58601, Czechia|Research Site, Pardubice, 53203, Czechia|Research Site, Praha 2, 12808, Czechia|Research Site, Strasbourg Cedex, Bas Rhin, 67098, France|Research Site, Nimes, Gard, 30029, France|Research Site, Bordeaux, Gironde, 33076, France|Research Site, Toulouse, Haute Garonne, 31059, France|Research Site, Montpellier, Herault, 34295, France|Research Site, Nantes Cedex 1, Loire Atlantique, 44093, France|Research Site, Lille, Nord, 59000, France|Research Site, Clermont-Ferrand, Puy De Dome, 63003, France|Research Site, Bron Cedex, Rhone, 69500, France|Research Site, Amiens Cedex 1, Somme, 80054, France|Research Site, Paris, 75013, France|Research Site, Freiburg, Baden Wuerttemberg, 79106, Germany|Research Site, Tuebingen, Baden Wuerttemberg, 72076, Germany|Research Site, Ulm, Baden Wuerttemberg, 89081, Germany|Research Site, Muenchen, Bavaria, 81675, Germany|Research Site, Bochum, North Rhine-Westphalia, 44791, Germany|Research Site, Duesseldorf, North Rhine-Westphalia, 40225, Germany|Research Site, Trier, Rhineland-Palatinate, 54292, Germany|Research Site, Dresden, Saxony, 1307, Germany|Research Site, Berlin, 10117, Germany|Research Site, Muenster, 48149, Germany|Research Site, Budapest, 1135, Hungary|Research Site, Budapest, 1145, Hungary|Research Site, Budapest, H-1204, Hungary|Research Site, Esztergom, 2500, Hungary|Research Site, Kistarcsa, 2143, Hungary|Research Site, Pecs, 7623, Hungary|Research Site, Ramat Gan, 5262000, Israel|Research Site, Montichiari, Brescia, 25018, Italy|Research Site, Pozzilli, Isernia, 86077, Italy|Research Site, Cefalù, Palermo, 90015, Italy|Research Site, Genova, 16132, Italy|Research Site, Messina, 98124, Italy|Research Site, Milano, 20132, Italy|Research Site, Milano, 20133, Italy|Research Site, Napoli, 80055, Italy|Research Site, Napoli, 80131, Italy|Research Site, Napoli, 80138, Italy|Research Site, Pisa, 56126, Italy|Research Site, Roma, 185, Italy|Research Site, Verona, 37134, Italy|Research Site, Geleen, 6162 AP, Netherlands|Research Site, Bydgoszcz, 85-795, Poland|Research Site, Gdansk, 80-803, Poland|Research Site, Katowice, 40-571, Poland|Research Site, Katowice, 40-650, Poland|Research Site, Krakow, 31-637, Poland|Research Site, Lodz, 90-324, Poland|Research Site, Lublin, 20-954, Poland|Research Site, Szczecin, 70-111, Poland|Research Site, Warszawa, 04-749, Poland|Research Site, Zabrze, 41-800, Poland|Research Site, Salt, Girona, 17190, Spain|Research Site, Majadahonda, Madrid, 28222, Spain|Research Site, Barakaldo, Vizcaya, 48903, Spain|Research Site, Barcelona, 08907, Spain|Research Site, Barcelona, 8035, Spain|Research Site, Barcelona, 8036, Spain|Research Site, Cordoba, 14004, Spain|Research Site, Madrid, 28006, Spain|Research Site, Sevilla, 41009, Spain|Research Site, Aarau, 5001, Switzerland|Research Site, Basel, 4031, Switzerland|Research Site, Bern, 3010, Switzerland|Research Site, Lugano, 6903, Switzerland|Research Site, Zurich, 8091, Switzerland|Research Site, Exeter, Devon, EX2 5DW, United Kingdom|Research Site, Plymouth, Devon, PL6 8DH, United Kingdom|Research Site, London, Greater London, SE5 9RS, United Kingdom|Research Site, London, Greater London, W6 8RF, United Kingdom|Research Site, Salford, Greater Manchester, M6 8HD, United Kingdom|Research Site, Liverpool, Merseyside, L9 7LJ, United Kingdom|Research Site, Nottingham, Nottinghamshire, NG7 2UH, United Kingdom|Research Site, Oxford, Oxfordshire, OX3 9DU, United Kingdom|Research Site, Glasgow, Strathclyde, G51 4TF, United Kingdom|Research Site, Newcastle Upon Tyne, Tyne & Wear, NE1 4LP, United Kingdom|Research Site, Leeds, West Yorkshire, LS1 3EX, United Kingdom|Research Site, Brighton, BN2 5BE, United Kingdom|Research Site, Sheffield, S10 2JF, United Kingdom|Research Site, Swansea, SA6 6NL, United Kingdom"
NCT02159573,"Real-world Outcomes on Tecfidera (BG00012, Dimethyl Fumarate) Post-Tysabri (BG00002, Natalizumab)",https://beta.clinicaltrials.gov/study/NCT02159573,COMPLETED,Relapsing-Remitting Multiple Sclerosis,BIOLOGICAL: natalizumab|DRUG: dimethyl fumarate,Biogen,,ALL,"ADULT, OLDER_ADULT",,530,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-07,2015-01,2015-01,"Research Site, Birmingham, Alabama, United States|Research Site, Cullman, Alabama, United States|Research Site, Gilbert, Arizona, United States|Research Site, Phoenix, Arizona, United States|Research Site, Aurora, Colorado, United States|Research Site, Centennial, Colorado, United States|Research Site, Washington, District of Columbia, United States|Research Site, Jacksonville Beach, Florida, United States|Research Site, Palm Bay, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, Athens, Georgia, United States|Research Site, Atlanta, Georgia, United States|Research Site, Idaho Falls, Idaho, United States|Research Site, Chicago, Illinois, United States|Research Site, Peoria, Illinois, United States|Research Site, Baton Rouge, Louisiana, United States|Research Site, Glen Burnie, Maryland, United States|Research Site, Boston, Massachusetts, United States|Research Site, Farmington Hills, Michigan, United States|Research Site, Golden Valley, Minnesota, United States|Research Site, Lincoln, Nebraska, United States|Research Site, Teaneck, New Jersey, United States|Research Site, Amherst, New York, United States|Research Site, East Meadow, New York, United States|Research Site, New York, New York, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Raleigh, North Carolina, United States|Research Site, Columbus, Ohio, United States|Research Site, Gahanna, Ohio, United States|Research Site, Uniontown, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Portland, Oregon, United States|Research Site, Altoona, Pennsylvania, United States|Research Site, Pittsburgh, Pennsylvania, United States|Research Site, Nashville, Tennessee, United States|Research Site, Dallas, Texas, United States|Research Site, Salt Lake City, Utah, United States|Research Site, Newport News, Virginia, United States|Research Site, Norfolk, Virginia, United States|Research Site, Seattle, Washington, United States|Research Site, Spokane, Washington, United States|Research Site, Madison, Wisconsin, United States|Research Site, Milwaukee, Wisconsin, United States"
NCT04573673,Transcutaneous Tibial Neuro-stimulation to Improve Voiding Dysfunction in Multiple Sclerosis.,https://beta.clinicaltrials.gov/study/NCT04573673,RECRUITING,Multiple Sclerosis|Lower Urinary Tract Symptoms,DEVICE: PTNS de verum|DEVICE: PTNS placebo,"University Hospital, Lille",,ALL,"ADULT, OLDER_ADULT",NA,68,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-12-01,2024-04,2024-04,"Hop Claude Huriez Chu Lille, Lille, 59037, France"
NCT03277261,Study to Assess the Efficacy and Safety of Ublituximab in Participants With Relapsing Forms of Multiple Sclerosis (RMS) ( ULTIMATE 1 ),https://beta.clinicaltrials.gov/study/NCT03277261,COMPLETED,Relapsing Multiple Sclerosis (RMS),BIOLOGICAL: Ublituximab|DRUG: Teriflunomide|DRUG: Oral Placebo|DRUG: IV Placebo,"TG Therapeutics, Inc.",,ALL,ADULT,PHASE3,549,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-09-19,2020-07-23,2020-11-06,"TG Therapeutics RMS Investigational Trial Site, Carlsbad, California, 92001, United States|TG Therapeutics RMS Investigational Trial Site, Long Beach, California, 90808, United States|TG Therapeutics RMS Investigational Trial Site, Pasadena, California, 91105, United States|TG Therapeutics RMS Investigational Trial Site, Stanford, California, 94305, United States|TG Therapeutics RMS Investigational Trial Site, Miami, Florida, 33136, United States|TG Therapeutics RMS Investigational Trial Site, Northbrook, Illinois, 60062, United States|TG Therapeutics RMS Investigational Trial Site, Kansas City, Kansas, 66160, United States|TG Therapeutics RMS Investigational Trial Site, Detroit, Michigan, 48201, United States|TG Therapeutics RMS Investigational Trial Site, Amherst, New York, 14226, United States|TG Therapeutics RMS Investigational Trial Site, Westerville, Ohio, 43081, United States|TG Therapeutics RMS Investigational Trial Site, Franklin, Tennessee, 37064, United States|TG Therapeutics RMS Investigational Trial Site, Knoxville, Tennessee, 37922, United States|TG Therapeutics RMS Investigational Trial Site, Dallas, Texas, 75246, United States|TG Therapeutics RMS Investigational Site, Round Rock, Texas, 78681, United States"
NCT04625153,RC18 in Patients With Relapsing Remitting Multiple Sclerosis：a Phase II Trial,https://beta.clinicaltrials.gov/study/NCT04625153,RECRUITING,"Multiple Sclerosis, Relapsing-Remitting",BIOLOGICAL: RC18 160mg|BIOLOGICAL: RC18 240mg,"RemeGen Co., Ltd.",,ALL,ADULT,PHASE2,18,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-06-02,2022-04,2022-11,"the Third Affiliated Hospital,Sun Yat-Sen University, Guangzhou, Guangdong, China"
NCT03886753,Pharmacokinetic (PK) and Pharmacodynamics (PD) Study of Ilera Specific Products,https://beta.clinicaltrials.gov/study/NCT03886753,TERMINATED,"ALS|Autism Spectrum Disorder|Cancer|Spasticity, Muscle|Dyskinetic Syndrome|Epilepsy|Glaucoma|Huntington Disease|Inflammatory Bowel Disease (IBD)|Multiple Sclerosis|Neuropathy|Opioid Use|Parkinson Disease|HIV/AIDS|Ptsd|Intractable Pain|Sickle Cell Disease|Terminal Illness",OTHER: Registry|OTHER: PK microsampling of blood,Children's Hospital of Philadelphia,Ilera Healthcare,ALL,"CHILD, ADULT, OLDER_ADULT",,10,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-05-15,2020-06-30,2020-06-30,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States"
NCT02588053,Does Long-Term Natalizumab (NTZ) Therapy Normalize Brain Atrophy Rates and Quality of Life (QOL) in Relapsing Remitting Multiple Sclerosis (RRMS)?,https://beta.clinicaltrials.gov/study/NCT02588053,COMPLETED,Multiple Sclerosis,,"University of Colorado, Denver",,ALL,ADULT,,85,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-07,2018-12,2019-01,"University of Colorado Anschutz, Aurora, Colorado, 80045, United States"
NCT04142853,"Underlying Causes and Related Factors, and Rehabilitation Approaches",https://beta.clinicaltrials.gov/study/NCT04142853,COMPLETED,Multiple Sclerosis,OTHER: Training intervention + Dance intervention,Hasselt University,University of Liege,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SCREENING,2019-03-01,2019-12-31,2019-12-31,"Hasselt University, Hasselt, 3500, Belgium|Centre Hospitalier Universitaire de Liège, Liège, 4000, Belgium"
NCT00912860,Immunogenicity and Safety Study of Serum-Free Avonex,https://beta.clinicaltrials.gov/study/NCT00912860,COMPLETED,Multiple Sclerosis,DRUG: Interferon beta-1a,Biogen,,ALL,ADULT,PHASE2,155,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2003-01,2004-12,2005-01,
NCT03568760,Finding the Right Words in Neurogenic Communication Disorders,https://beta.clinicaltrials.gov/study/NCT03568760,COMPLETED,Anomia|Stroke|Aphasia|Parkinson Disease|Multiple Sclerosis,BEHAVIORAL: Semantic feature analysis|BEHAVIORAL: Comprehension training,Göteborg University,The Swedish Research Council|Swedish Council for Working Life and Social Research,ALL,"ADULT, OLDER_ADULT",NA,17,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2016-01-01,2021-12-31,2021-12-31,"University of Gothenburg, Gothenburg, Västra Göraland, 405 30, Sweden"
NCT02006160,Effects of Dalfampridine on Cognition in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT02006160,COMPLETED,Multiple Sclerosis,DRUG: dalfampridine|DRUG: placebo,State University of New York at Buffalo,,ALL,ADULT,PHASE2|PHASE3,61,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-12,2016-02,2016-02,"Buffalo General Hospital, Buffalo, New York, 14203, United States"
NCT04819360,Botulinum Toxin A vs Anticholinergic Treatment of Neurogenic Overactive Bladder in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04819360,RECRUITING,"Urinary Bladder, Neurogenic|Multiple Sclerosis",DRUG: VESIcare 10Mg Tablet|DRUG: Botox 100 UNT Injection,Brigitte Schürch,Centre Hospitalier Universitaire Vaudois,ALL,"ADULT, OLDER_ADULT",PHASE4,46,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-06-01,2022-11-30,2023-01-31,"Centre Hospitalier Universitaire Vaudois, Lausanne, 1011, Switzerland"
NCT04082260,Signatures of Immune Reprogramming in Anti-CD52 Therapy of MS: Markers for Risk Stratification and Treatment Response,https://beta.clinicaltrials.gov/study/NCT04082260,UNKNOWN,Multiple Sclerosis,DRUG: Alemtuzumab Injection [Lemtrada],University Hospital Muenster,,ALL,"ADULT, OLDER_ADULT",,150,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-01,2022-01,2022-01,"Department of Neurology, Münster, NRW, 48149, Germany"
NCT00986960,Effect of Adrenocorticotropin Injection With Weekly Interferon Beta in Patients With Relapsing Remitting Multiple Sclerosis (MS),https://beta.clinicaltrials.gov/study/NCT00986960,WITHDRAWN,Multiple Sclerosis,DRUG: repository corticotropin injection|DRUG: Saline,University at Buffalo,,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2009-12,2010-09,2010-12,"University at Buffalo, Buffalo General Hospital, Buffalo, New York, 14203, United States"
NCT01371760,BRAVE-DREAMS (BRAin VEnous DRainage Exploited Against Multiple Sclerosis),https://beta.clinicaltrials.gov/study/NCT01371760,COMPLETED,Multiple Sclerosis|Venous Insufficiency,PROCEDURE: Venous PTA|OTHER: Catheter Venography,S. Anna Hospital,Regione Emilia-Romagna,ALL,"ADULT, OLDER_ADULT",NA,212,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-08,2014-12,2015-12,"S. Anna Hospital, Ferrara, Fe, 44100, Italy|S. Anna Hospital, University of Ferrara, Ferrara, Italy, Ferrara, 44100, Italy"
NCT05009160,DreaMS - Validation Study 1,https://beta.clinicaltrials.gov/study/NCT05009160,RECRUITING,Multiple Sclerosis,DEVICE: dreaMS App R2.1,Research Center for Clinical Neuroimmunology and Neuroscience Basel,"Healios AG|University Hospital, Basel, Switzerland|University of Basel|Innosuisse - Swiss Innovation Agency|Novartis Pharmaceuticals|Hoffmann-La Roche",ALL,"ADULT, OLDER_ADULT",,450,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-03-30,2025-04,2025-04,"MS Center, Department of Neurology University Hospital Basel, Basel, Switzerland"
NCT04931953,Feasibility of Neuromodulation With Connectivity-Guided iTBS for Cognitive Impairment in MS,https://beta.clinicaltrials.gov/study/NCT04931953,NOT_YET_RECRUITING,Multiple Sclerosis|Cognitive Impairment,OTHER: Intermittent theta burst stimulation (iTBS)|OTHER: Sham Intermittent theta burst stimulation (iTBS),University of Nottingham,,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2022-06-01,2023-08,2023-12,
